Class Name,Class Code,Department,Units,Class Description,Class URL
"Immigration, Nation, and Media",ANTHRO 125U,Anthropology,4 Units,"Examines media shapes and reflects public opinion on immigration and its representation of immigrants, citizens, and ideas about the nation, and who belongs and who is a potential threat; as well as the relationship between scholars and journalists. Same as CHC/LAT 123, SPPS 101A.",https://catalogue.uci.edu/allcourses/anthro/
Transnational Migration,ANTHRO 125X,Anthropology,4 Units,"Examines the movement of people across national borders, governmentality and the role of state practices to control populations, and issues of citizenship, belonging, and identity. Examples are drawn from the United States, Europe, Latin America, Asia, and Africa. Same as CHC/LAT 161. (VIII)",https://catalogue.uci.edu/allcourses/anthro/
Arabs and Muslims in the US,ANTHRO 125Z,Anthropology,4 Units,"Offers a critical academic study of Islam in America, focusing on the core tenets of belief, the diversity of practices, and historical transformations that have taken place since the arrival of Muslims in the United States. Same as ASIANAM 142.",https://catalogue.uci.edu/allcourses/anthro/
Cultures of the Middle East,ANTHRO 126,Anthropology,4 Units,The diversity of cultures and peoples who constitute the Middle East demonstrates the failure of much contemporary media and discourse to understand this region. Students learn about the broad scope of the contemporary Middle East through an ethnographic lens. Restriction: Anthropology Majors have first consideration for enrollment. Anthropology Minors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/anthro/
Elite Cultures,ANTHRO 126A,Anthropology,4 Units,"The distinctive contribution that ethnographic studies have made to the understanding of elites past and present, in particular societies and globally. Restriction: Anthropology Majors have first consideration for enrollment. 2323",https://catalogue.uci.edu/allcourses/anthro/
"Controversies, Courts, Cultures: The Anthropology of Law",ANTHRO 127,Anthropology,4 Units,"Assesses the contributions anthropology has made to legal scholarship, reviewing historical and contemporary themes. Considers both comparative questions of law�s norms, structures, and practices around the globe, and the specific insights anthropology offers about contemporary U.S. law. Same as CRM/LAW C183. (III)",https://catalogue.uci.edu/allcourses/anthro/
Law and Modernity,ANTHRO 127A,Anthropology,4 Units,"The rise and spread of Enlightenment legal traditions, social contract theory, individual rights, ideologies of ""liberty, equality, fraternity""; contradictions of liberal law, its understandings of ""primitive"" and ""civilized""; pervasive myths of property, difference, race, and rights. Reading- and writing-intensive. Same as CRM/LAW C191.",https://catalogue.uci.edu/allcourses/anthro/
Anthropology of Law,ANTHRO 127D,Anthropology,4 Units,"Introduces the anthropological study of law through a focus on the foundations of this subfield, its primary methodologies, and several important topics of inquiry, including policing, immigration, and structural inequalities. Provides an international perspective on law and society. Same as CRM/LAW C141. Restriction: Anthropology Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/anthro/
"Science, Technology, Controversy",ANTHRO 128A,Anthropology,4 Units,"Explores ways in which the social sciences conceive of science as a sociocultural practice. Emphasis on literature in Science and Technology Studies (STS), especially writings that concern the relationship of science to space and place, power, and politics. Restriction: Anthropology Majors only.",https://catalogue.uci.edu/allcourses/anthro/
"Race, Gender, and Science",ANTHRO 128B,Anthropology,4 Units,"Perfect for pre-health, science, and social science majors wanting to appreciate how science and society interact. Race and gender as biological and socio-cultural constructs are examined. Questions explored: What is disease? What is science? What are social and biological differences. Same as CHC/LAT 176. (VII)",https://catalogue.uci.edu/allcourses/anthro/
Digital Cultures,ANTHRO 128C,Anthropology,4 Units,"Explores cultural and political implications of the infotech revolution and the ways new media are used around the world, new cultural practices and spaces (e.g., cybercafes), debates surrounding the meanings of these new technologies, and their implications for transforming society. Prerequisite: ANTHRO 2A and (ANTHRO 2B or ANTHRO 2C or ANTHRO 2D) Restriction: Anthropology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/anthro/
Special Topics: Social and Economic Anthropology,ANTHRO 129,Anthropology,1-4 Units,Studies in selected areas of Social and Economic Anthropology. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Restriction: Anthropology Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/anthro/
Psychological Anthropology,ANTHRO 132A,Anthropology,4 Units,"Cultural differences and similarities in personality and behavior. Child-rearing practices and consequent adult personality characteristics, biocultural aspects of child development and attachment, culture and behavior evolutionary models, politically linked personality, cognitive anthropology, psychology of narrative forms, comparative national character studies. Prerequisite: ANTHRO 2A or PSYCH 7A or (PSYCH 9A and PSYCH 9B and PSYCH 9C) or (PSY BEH 11A and PSY BEH 11B and PSY BEH 11C) Same as PSYCH 173A. Restriction: Psychology Majors have first consideration for enrollment. 2324",https://catalogue.uci.edu/allcourses/anthro/
Medical Anthropology,ANTHRO 134A,Anthropology,4 Units,"Introduces students to cross-cultural perspectives and critical theories in anthropological studies of medicine. Special attention is given to diverse ways of understanding bodies, illnesses, and therapeutic practices in our changing world. Same as CHC/LAT 178A. (VIII)",https://catalogue.uci.edu/allcourses/anthro/
Cultures of Biomedicine,ANTHRO 134B,Anthropology,4 Units,"An introduction to the anthropolobical study of biomedicine and biotechnology. Topics include medicalization, experimentation and discovery, diagnosis, expertise, health activism, and biotechnology.",https://catalogue.uci.edu/allcourses/anthro/
"Medicine, Food, and Health",ANTHRO 134C,Anthropology,4 Units,"With anthropological studies of edible things as its foundation, this course explores topics related to the relationship between medical knowledge, eating, and health from a medical anthropological perspective. Prerequisite: ANTHRO 2A or ANTHRO 2B or ANTHRO 2D",https://catalogue.uci.edu/allcourses/anthro/
Anthropology of the Body,ANTHRO 134F,Anthropology,4 Units,"Examines human bodies as both biological and sociocultural entities and explores the relationship among mind, body, and society cross-culturally. Topics include embodiment; race, sex, gender, and the body; somatization; control of the body; commodified bodies; and hybrid/cyborg bodies.",https://catalogue.uci.edu/allcourses/anthro/
